pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z
686751,"Johnson, Seth",2024,R,58,143,53,-1.071600131,6.011195189,0.310164511,4.178070241
642207,"Williams, Devin",2024,R,435,158,23,-2.294417738,5.278291031,-0.376304398,4.446495672
650911,"Sánchez, Cristopher",2024,L,2796,143,32,2.050893953,6.181615424,0.075311103,4.937299007
656288,"Canning, Griffin",2024,R,2869,108,45,-1.513033816,5.900056606,0.045962179,4.331306662
592288,"Emanuel, Kent",2024,L,302,146,24,2.471699258,5.872583193,0.238889872,4.879311333
660896,"Alcala, Jorge",2024,R,930,142,49,-1.535005716,6.526277103,0.040049841,4.698835027
686752,"Pepiot, Ryan",2024,R,2148,139,42,-1.684473943,5.96436935,-0.032050986,4.487714756
663969,"Phillips, Tyler",2024,R,578,143,29,-2.216997016,5.867860612,-0.068616038,4.668565174
667297,"Nance, Tommy",2024,R,322,141,44,-1.667250823,6.20068365,0.106753999,4.50608659
542881,"Anderson, Tyler",2024,L,2913,108,58,0.951801808,6.404276512,-0.232155949,4.534649762
656546,"Hoffman, Jeff",2024,R,990,143,40,-1.824444001,6.038472106,0.090339777,4.452051756
542882,"Andriese, Matt",2024,R,88,146,43,-2.160873244,5.717914171,-0.414268795,4.080427407
657571,"Ferguson, Caleb",2024,L,941,117,39,1.781061844,5.646060288,-0.100375867,4.121593192
605347,"López, Jorge",2024,R,802,112,36,-1.77540877,5.759201836,0.030103855,4.440462928
502179,"Espino, Paolo",2024,R,158,141,47,-1.479891949,5.494802953,-0.117781917,4.021958323
663460,"Bubic, Kris",2024,L,496,118,41,1.857628474,5.680851771,0.148728754,4.173624243
681892,"Funderburk, Kody",2024,L,652,142,37,2.064132434,5.909004179,0.06015111,4.408228909
596133,"Weaver, Luke",2024,R,1362,147,47,-1.397229063,5.704371513,0.1628818,4.055986939
666277,"Soriano, George",2024,R,519,146,21,-2.37572866,5.178665288,-0.180270503,4.317627311
669093,"Estrada, Jeremiah",2024,R,1000,135,64,-0.675910931,5.815302308,0.341768601,3.729534238
678821,"Peralta, Luis",2024,L,181,115,33,2.015139923,5.320899035,0.089312895,4.065251376
643493,"Pruitt, Austin",2024,R,78,140,55,-1.077409228,5.928571928,0.180079611,4.147247291
656550,"Holmes, Grant",2024,R,1023,144,40,-1.89704907,5.943962112,-0.203866805,4.522193907
663462,"Campbell, Isaiah",2024,R,119,111,48,-1.669396799,6.485427262,-0.085371549,4.71250032
608678,"Leone, Dominic",2024,R,361,145,40,-1.671047137,5.803493961,-0.027211178,4.400457639
687014,"Avila, Nick",2024,R,225,137,54,-0.937534839,6.119778089,0.471086677,4.204498034
453286,"Scherzer, Max",2024,R,668,140,29,-2.339673404,5.529144709,-0.34505922,4.411894844
676775,"Winn, Keaton",2024,R,832,137,40,-1.931908597,6.228985278,-0.024362247,4.63217199
622503,"Crismatt, Nabil",2024,R,93,119,34,-2.224623213,5.555901149,-0.33288577,4.258038457
641703,"Honeywell Jr., Brent",2024,R,595,119,45,-1.478267107,6.179913443,0.085539857,4.601713831
593576,"Neris, Héctor",2024,R,1024,117,40,-1.805104392,6.080490963,0.010154735,4.563806124
